Time,Interval
261.5,5.0
265.0,10.0
270.5,15.0
273.0,20.0
277.0,25.0
286.5,35.0
268.5,5.0
274.0,10.0
276.5,15.0
280.5,20.0
290.0,30.0
278.0,5.0
280.5,10.0
284.5,15.0
294.0,25.0
284.5,5.0
288.5,10.0
298.0,20.0
292.5,5.0
302.0,15.0
304.5,10.0
367.5,-5.0
368.5,-10.0
380.0,-15.0
408.5,-5.0
420.0,-10.0
431.5,-5.0
466.5,-10.0
469.0,-15.0
485.0,-20.0
504.5,-5.0
520.5,-10.0
536.5,-5.0
596.0,105.0
709.0,-75.0
711.0,-80.0
759.5,-5.0
835.5,50.0
967.5,-50.0
970.0,-45.0
991.5,-40.0
1035.5,5.0
1057.0,10.0
1059.0,5.0
1057.5,5.0
1059.5,0.0
1065.0,5.0
1082.5,-5.0
1088.0,0.0
1093.5,5.0
1127.0,-10.0
1142.0,-15.0
1180.5,-5.0
1206.5,-85.0
1286.5,-5.0
1324.5,-10.0
1329.0,-15.0
1342.0,-20.0
1346.5,-25.0
1365.5,-5.0
1378.5,-10.0
1383.0,-15.0
1387.5,-20.0
1391.5,-5.0
1396.0,-10.0
1400.5,-15.0
1406.5,-10.0
1400.5,-5.0
1405.0,-10.0
1411.0,-5.0
1421.5,0.0
1424.0,-5.0
1409.5,-5.0
1415.5,0.0
1426.0,5.0
1428.5,0.0
1421.5,5.0
1432.0,10.0
1434.5,5.0
1442.5,5.0
1445.0,0.0
1447.5,-5.0
1705.5,-45.0
1706.5,-40.0
1708.0,-35.0
1710.0,-30.0
1710.5,-25.0
1712.0,-20.0
1714.5,-15.0
1721.5,-20.0
1956.5,5.0
1958.0,10.0
1960.0,15.0
1960.5,20.0
1962.0,25.0
1964.5,30.0
1971.5,25.0
1959.5,5.0
1961.5,10.0
1962.0,15.0
1963.5,20.0
1966.0,25.0
1973.0,20.0
1963.5,5.0
1964.0,10.0
1965.5,15.0
1968.0,20.0
1975.0,15.0
1988.5,20.0
1964.5,5.0
1966.0,10.0
1968.5,15.0
1975.5,10.0
1989.0,15.0
1967.5,5.0
1970.0,10.0
1977.0,5.0
1990.5,10.0
1972.5,5.0
1979.5,0.0
1993.0,5.0
1986.5,-5.0
2000.0,0.0
2005.0,5.0
2010.5,10.0
2004.5,5.0
2009.5,10.0
2015.0,15.0
2018.5,20.0
2023.5,25.0
2023.5,5.0
2029.0,10.0
2032.5,15.0
2037.5,20.0
2046.5,25.0
2034.5,5.0
2038.0,10.0
2043.0,15.0
2052.0,20.0
2058.0,25.0
2041.5,5.0
2046.5,10.0
2055.5,15.0
2061.5,20.0
2051.5,5.0
2060.5,10.0
2066.5,15.0
2073.0,10.0
2075.0,15.0
2076.0,10.0
2064.5,5.0
2070.5,10.0
2077.0,5.0
2079.0,10.0
2080.0,5.0
2081.5,10.0
2082.0,5.0
2085.0,0.0
2087.5,-5.0
2081.5,5.0
2088.0,0.0
2090.0,5.0
2091.0,0.0
2092.5,5.0
2093.0,0.0
2096.0,-5.0
2098.5,-10.0
2094.5,-5.0
2096.5,0.0
2097.5,-5.0
2099.0,0.0
2099.5,-5.0
2102.5,-10.0
2105.0,-15.0
2098.5,5.0
2099.5,0.0
2101.0,5.0
2101.5,0.0
2104.5,-5.0
2107.0,-10.0
2100.5,-5.0
2102.0,0.0
2102.5,-5.0
2105.5,-10.0
2108.0,-15.0
2103.5,5.0
2104.0,0.0
2107.0,-5.0
2109.5,-10.0
2104.5,-5.0
2107.5,-10.0
2110.0,-15.0
2110.5,-5.0
2113.0,-10.0
2115.5,-5.0
2139.0,0.0
2140.0,5.0
2139.5,5.0
2140.5,10.0
2164.5,5.0
2221.0,-5.0
2223.0,0.0
2255.5,5.0
2431.0,-5.0
2438.5,-10.0
2465.5,-5.0
2487.5,-10.0
2509.5,-5.0
2522.5,-10.0
2523.5,-5.0
2690.0,-30.0
2702.5,-35.0
2706.5,-40.0
2710.0,-45.0
2712.0,-40.0
2714.5,-35.0
2866.5,-5.0
2870.5,-10.0
2874.0,-15.0
2876.0,-10.0
2878.5,-5.0
2881.5,0.0
2884.5,5.0
2888.0,10.0
2874.5,-5.0
2878.0,-10.0
2880.0,-5.0
2882.5,0.0
2885.5,5.0
2888.5,10.0
2892.0,15.0
2881.5,-5.0
2883.5,0.0
2886.0,5.0
2889.0,10.0
2892.0,15.0
2895.5,20.0
2904.5,15.0
2885.5,5.0
2888.0,10.0
2891.0,15.0
2894.0,20.0
2897.5,25.0
2906.5,20.0
2909.0,15.0
2910.5,10.0
2890.5,5.0
2893.5,10.0
2896.5,15.0
2900.0,20.0
2909.0,15.0
2911.5,10.0
2913.0,5.0
2896.5,5.0
2899.5,10.0
2903.0,15.0
2912.0,10.0
2914.5,5.0
2916.0,0.0
2919.0,-5.0
2921.5,-10.0
2902.5,5.0
2906.0,10.0
2915.0,5.0
2917.5,0.0
2919.0,-5.0
2922.0,-10.0
2924.5,-15.0
2909.5,5.0
2918.5,0.0
2921.0,-5.0
2922.5,-10.0
2925.5,-15.0
2928.0,-20.0
2927.5,-5.0
2930.0,-10.0
2931.5,-15.0
2934.5,-20.0
2937.0,-25.0
2932.5,-5.0
2934.0,-10.0
2937.0,-15.0
2939.5,-20.0
2935.5,-5.0
2938.5,-10.0
2941.0,-15.0
2941.5,-5.0
2944.0,-10.0
2944.5,-5.0
3233.0,-55.0
3234.0,-50.0
3235.0,-45.0
3236.0,-40.0
3237.5,-35.0
3238.5,-30.0
3240.0,-25.0
3242.0,-20.0
3244.0,-15.0
3246.5,-5.0
3248.0,0.0
3251.5,5.0
3253.5,10.0
3256.0,15.0
3515.5,5.0
3516.5,10.0
3517.5,15.0
